Element,Transition,Theory (eV),Unc (eV),Direct (eV),Unc. (eV)
Ne,KL1,817.69,0.56,,
Ne,KL2,849.09,0.54,848.61,0.26
Ne,KL3,849.17,0.54,848.61,0.26
Ne,KM1,,,857.89,0.44
Ne,KM2,,,857.89,0.44
Ne,KM3,,,857.89,0.44
Ne,KM4,,,857.89,0.44
Ne,KM5,,,857.89,0.44
Ne,K edge,870.73,0.16,866.9001,0.009
Ne,L1 edge,53.04,0.4,,
Ne,L2 edge,21.63,0.39,,
Ne,L3 edge,21.55,0.38,,
Na,KL1,1004.99,0.49,,
Na,KL2,1041.77,0.51,1040.98,0.12
Na,KL3,1041.94,0.51,1040.98,0.12
Na,KM1,1073.0,1.2,1071.12,0.27
Na,KM2,,,1071.12,0.27
Na,KM3,,,1071.12,0.27
Na,KM4,,,1071.12,0.27
Na,KM5,,,1071.12,0.27
Na,K edge,1080.15,0.15,1071.68,0.14
Na,L1M1,68.0,1.4,,
Na,L1 edge,75.16,0.35,,
Na,L2M1,31.3,1.4,,
Na,L2 edge,38.38,0.37,30.61,0.56
Na,L3M1,31.09,0.37,,
Na,L3 edge,38.21,0.37,30.61,0.56
Mg,KL1,1211.54,0.43,,
Mg,KL2,1254.14,0.49,1253.437,13.0
Mg,KL3,1254.39,0.49,1253.688,11.0
Mg,KM1,1303.5,1.2,1302.2,0.4
Mg,KM2,,,1302.2,0.4
Mg,KM3,,,1302.2,0.4
Mg,KM4,,,1302.2,0.4
Mg,KM5,,,1302.2,0.4
Mg,K edge,1312.3,0.14,1303.403,20.0
Mg,L1M1,92.0,1.4,,
Mg,L1 edge,100.75,0.29,62.839,47.0
Mg,L2M1,49.4,1.4,,
Mg,L2 edge,58.16,0.35,49.732,30.0
Mg,L3M1,49.14,0.36,,
Mg,L3 edge,57.9,0.35,49.454,29.0
Al,KL1,1438.94,0.38,,
Al,KL2,1487.12,0.47,1486.295,10.0
Al,KL3,1487.53,0.47,1486.708,10.0
Al,KM1,1556.63,0.98,1557.57,0.58
Al,KM2,1561.28,0.96,1557.57,0.58
Al,KM3,,,1557.57,0.58
Al,KM4,,,1557.57,0.58
Al,KM5,,,1557.57,0.58
Al,K edge,1569.56,0.13,1559.893,15.0
Al,L1M1,117.7,1.1,,
Al,L1M2,122.3,1.1,,
Al,L1 edge,130.62,0.25,87.005,90.0
Al,L2M1,69.5,1.2,,
Al,L2M2,74.2,1.2,,
Al,L2 edge,82.44,0.34,72.76,63.0
Al,L3M1,69.1,1.2,,
Al,L3M2,73.7,1.2,,
Al,L3 edge,82.03,0.34,72.76,63.0
Si,KL1,1686.54,0.33,,
Si,KL2,1739.67,0.47,1739.394,34.0
Si,KL3,1741.16,0.47,1739.985,19.0
Si,KM1,1834.97,0.84,1835.96,0.4
Si,KM2,1841.79,0.72,1835.96,0.4
Si,KM3,,,1835.96,0.4
Si,KM4,,,1835.96,0.4
Si,KM5,,,1835.96,0.4
Si,K edge,1850.26,0.13,1840.05,0.4
Si,L1M1,148.42,0.91,,
Si,L1M2,155.24,0.79,,
Si,L1 edge,163.72,0.2,,
Si,L2M1,95.3,1.1,,
Si,L2M2,102.11,0.93,,
Si,L2 edge,110.59,0.34,100.8,1.2
Si,L3M1,93.81,0.93,,
Si,L3M2,100.63,0.93,,
Si,L3 edge,109.1,0.34,100.8,1.2
P,KL1,1954.45,0.27,,
P,KL2,2013.14,0.45,2012.7,0.48
P,KL3,2014.73,0.44,2013.68,0.48
P,KM1,2136.1,1.0,2139.1,1.1
P,KM2,2143.79,0.58,2139.1,1.1
P,KM3,2140.82,1.0,2139.1,1.1
P,KM4,,,2139.1,1.1
P,KM5,,,2139.1,1.1
P,K edge,2154.24,0.12,2143.54,0.55
P,L1M1,181.7,1.0,,
P,L1M2,189.34,0.62,,
P,L1M3,186.4,1.0,,
P,L1 edge,199.79,0.16,,
P,L2M1,123.0,1.2,,
P,L2M2,130.65,0.79,,
P,L2M3,127.7,1.2,,
P,L2 edge,141.1,0.33,131.9,2.1
P,L3M1,121.41,0.78,,
P,L3M2,129.07,0.78,,
P,L3M3,126.1,1.2,,
P,L3 edge,139.51,0.32,131.9,2.1
S,KL1,2242.56,0.23,,
S,KL2,2307.01,0.45,2306.7,38.0
S,KL3,2308.8,0.44,2307.885,34.0
S,KM1,2460.1,1.1,,
S,KM2,2469.73,0.6,,
S,KM3,2467.53,0.72,2464.07,0.14
S,K edge,2481.71,0.12,2470.506,73.0
S,L1M1,217.5,1.1,,
S,L1M2,227.17,0.6,,
S,L1M3,224.96,0.72,,
S,L1 edge,239.15,0.11,,
S,L2M1,153.1,1.4,148.66,0.79
S,L2M2,162.72,0.81,,
S,L2M3,160.52,0.93,,
S,L2 edge,174.7,0.33,,
S,L3M1,151.29,0.8,148.66,0.79
S,L3M2,160.93,0.8,,
S,L3M3,158.73,0.92,,
S,L3 edge,172.91,0.32,,
Cl,KL1,2550.96,0.26,,
Cl,KL2,2621.27,0.44,2620.846,39.0
Cl,KL3,2623.67,0.43,2622.44,39.0
Cl,KM1,2807.0,1.3,2815.6,0.28
Cl,KM2,2819.04,0.64,2815.6,0.28
Cl,KM3,2817.58,0.49,2815.6,0.28
Cl,KM4,,,2815.6,0.28
Cl,KM5,,,2815.6,0.28
Cl,K edge,2832.76,0.12,2819.639,95.0
Cl,L1M1,256.0,1.3,,
Cl,L1M2,268.08,0.66,,
Cl,L1M3,266.62,0.52,,
Cl,L1 edge,281.8,0.15,,
Cl,L2M1,185.7,1.5,184.14,0.36
Cl,L2M2,197.77,0.84,,
Cl,L2M3,196.31,0.7,,
